Country,State,Year,Age Group,Type Of Area,Gender,"Unemployment Rate (Ur) (UOM:%(Percentage)), Scaling Factor:1"
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Female,10.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Person,7.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Male,2.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Female,2.4
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Person,2.5
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Male,1.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Female,1.3
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Person,1.5
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Male,6.5
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Female,10.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Person,7.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Male,2.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Female,2.4
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Person,2.5
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Male,8.8
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Female,99.2
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Person,15.9
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Male,4.4
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Female,3.5
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Person,4.2
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Male,4.6
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Female,4.8
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Person,4.6
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Male,3.6
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Female,19.8
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Person,6.0
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Male,2.3
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Female,1.1
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Person,2.0
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Male,2.3
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Female,1.5
India,Delhi,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Person,2.1
India,Delhi,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Male,3.6
India,Delhi,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Female,19.5
India,Delhi,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Person,6.0
India,Delhi,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Male,2.2
India,Delhi,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Female,1.1
India,Delhi,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Person,2.0
India,Delhi,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Male,2.2
India,Delhi,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Female,1.5
India,Delhi,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Person,2.1
India,Delhi,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Male,3.6
India,Delhi,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Female,19.5
India,Delhi,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Person,6.0
India,Delhi,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Male,2.2
India,Delhi,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Female,1.1
India,Delhi,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Person,2.0
India,Delhi,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Male,2.2
India,Delhi,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Female,1.5
India,Delhi,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Person,2.1
India,Goa,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Male,14.5
India,Goa,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Female,32.6
India,Goa,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Person,18.4
